idx,event_id,video,gt_label,manual_note,annotation_bucket,note_flags,auto_suggest,auto_reason,human_keep,human_reason,human_note,base_label,base_pred_excerpt,text_positive_hits,text_negative_hits,ovd_found,lcrm_ok,lcrm_signal,lcrm_reason,lcrm_channel,lcrm_score,lcrm_compactness,lcrm_dx_union,lcrm_dy_union,lcrm_edge_norm_gap,lcrm_persistence,lcrm_static_count,lcrm_person_peak,lcrm_vehicle_peak
13,35695321,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
14,35693578,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
15,35447113,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
16,35582256,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
17,35582035,,,无法打开 视频应删去,unable_open,,drop,invalid_or_unverifiable,no,unable_open,,,,,,False,,,,,,,,,,,,,
18,1966634,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有一人在查看车辆碰撞情况,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
19,6967446,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在两车之间查看/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
20,35698307,,,无碰撞过程，只看到停车，有人员在车旁 两车相隔较远，有一辆车车主靠近另一辆车与车内车主交涉,no_process_parking_with_person,far_or_unclear_relation|person_handling|person_present,review,post_incident_handling_needs_confirmation,uncertain,far_but_handling,,,,,,False,,,,,,,,,,,,,
21,35700650,,,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉,collision_process_weak,person_handling|person_present|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,,,,,False,,,,,,,,,,,,,
22,35697913,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
23,35699282,多车事故_20240612172420_突发事件_35699282.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在两车之间查看，但未交流？视频后面两人各自坐回车内,no_process_parking_with_person,person_present|two_or_more_close,keep,post_incident_handling,uncertain,parking_with_person_unspecified,,多车事故,2024年6月12日17时24分至17时25分，位于城市高架桥路段的右侧车道发生多车事故。涉事车辆包括一辆黑色轿车、一辆白色SUV及多辆前后行驶的车辆，其中黑色轿车停靠在最右侧车道边缘，车旁有两名人员站立，疑似驾驶员与乘客下车查看情况，另一名人员靠近车旁；白色SUV紧随其后，俩车均处于异常停车状态，导致后方车辆被迫减速绕行。事故区域可见车辆刹车灯亮起，交通流,碰撞|下车查看,未见明显碰撞,True,True,False,score_below_threshold,,0.7212,0.5217,0.478,0.4787,0.0,3,5,0,26
24,35574858,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，但由于镜头角度问题两车几乎重合,no_process_parking_with_person,overlap_angle|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
25,35710514,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，但画面极不清晰模糊且所占画面小,no_process_parking_with_person,edge_or_small|low_quality|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
26,35708505,,,无碰撞过程，只看到停车，有人员在车旁 两车相隔有一定距离，有多人在查看车辆碰撞情况/交涉，但画面极不清晰模糊,no_process_parking_with_person,far_or_unclear_relation|low_quality|person_handling|person_present,review,post_incident_handling_but_visual_weak,uncertain,far_but_handling,,,,,,False,,,,,,,,,,,,,
27,35710647,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但画面极不清晰模糊且所占画面小,no_process_parking_with_person,edge_or_small|low_quality|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
28,35708952,多车事故_20240617073026_突发事件_35708952.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有一人在查看车辆碰撞情况,no_process_parking_with_person,person_handling|person_present|two_or_more_close,keep,post_incident_handling,yes,post_incident_handling,,异常停车,2024年06月17日星期一07:30:23，在一条城市高架道路上，一辆白色轿车在最右侧车道完全静止，车辆未开启双闪灯，驾驶员不在车内，且该车在非停车区域长时间停留，导致后方车辆被迫减速绕行，形成交通拥堵。该行为符合异常停车的判断标准，存在安全隐患。,双闪,,True,True,False,construction_context,,0.8522,0.6305,0.4775,0.2122,0.0,7,7,0,38
29,35709278,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有一人在查看车辆碰撞情况（拍照），视频后端两车开走,no_process_parking_with_person,drive_away|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
30,35709961,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
31,35708720,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
32,35708491,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，但由于镜头角度问题两车几乎重合，且画面不清晰,no_process_parking_with_person,low_quality|overlap_angle|person_handling|person_present|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
33,35646491,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，画面不清晰,no_process_parking_with_person,low_quality|person_handling|person_present|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
34,35646617,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但由于镜头角度问题两车几乎重合,no_process_parking_with_person,overlap_angle|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
35,35647673,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
36,35647151,多车事故_20240528170718_突发事件_35647151.mp4,多车事故,无碰撞过程，只看到停车，无人员在车旁 两车贴近停靠，无人员在车旁，无明显事故证据,no_process_parking_no_person,explicit_no_person|no_evidence|two_or_more_close,drop,parking_without_handling_evidence,no,weak_evidence,,异常停车,2024年5月28日17:07至17:08，在外环高速莘庄立交北段，一辆红色货车在行车道上异常停车，车辆完全静止且未开启双闪灯，导致后方多辆车辆被迫减速绕行，交通流出现明显滞缓，形成典型的拥堵现象，影响了道路的正常通行秩序。该行为违反了非停车区域禁止停车的规定，且未采取任何安全警示措施，存在较大安全隐患。,双闪,,True,True,False,score_below_threshold,,0.6606,0.5644,0.2449,0.5652,0.1355,4,9,0,65
37,35644725,,,无碰撞过程，只看到停车，无人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，有事故证据,no_process_parking_no_person,explicit_evidence|explicit_no_person|person_handling|two_or_more_close,drop,parking_without_handling_evidence,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
38,35717427,,,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 碰撞后两车相隔较远，有一人在查看车辆碰撞情况,collision_process_weak,far_or_unclear_relation|person_handling|person_present,keep,collision_process_weak,yes,collision_weak,,,,,,False,,,,,,,,,,,,,
39,35717760,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但处在画面边缘,no_process_parking_with_person,edge_or_small|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
40,35717772,,,无碰撞过程，只看到停车，有人员在车旁 两车相隔有一定距离，有两人在查看车辆碰撞情况/交涉，但画面不清晰模糊，所占画面小,no_process_parking_with_person,edge_or_small|far_or_unclear_relation|low_quality|person_handling|person_present|small_or_edge,review,post_incident_handling_but_visual_weak,uncertain,far_but_handling,,,,,,False,,,,,,,,,,,,,
41,35717061,,,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，所占画面小,collision_process_weak,edge_or_small|person_handling|person_present|small_or_edge|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,,,,,False,,,,,,,,,,,,,
42,35717276,,,有碰撞过程，碰撞后停车，无人员在车旁 有追尾/碰撞过程,collision_process_clear,explicit_no_person,keep,collision_process_clear,yes,collision_visible,,,,,,False,,,,,,,,,,,,,
43,35717354,多车事故_20240621152616_突发事件_35717354.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有一人下车在查看车辆碰撞情况/交涉（但发生在视频后半段），处在画面边缘,no_process_parking_with_person,edge_or_small|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,多车事故,2024年6月21日15时26分至15时27分，嘉闵西侧定焦07监控点位拍摄到隧道内发生多车事故。事故发生在隧道中段，涉事车辆包括一辆白色货车、一辆白色轿车。视频显示，俩辆车已经发生事故，在最右侧车道停靠，疑似白色轿车追尾白色货车。事故造成右侧车道车辆明显拥堵，部分车辆横向偏移，存在碰撞痕迹，且有车辆紧急刹车行为。事故影响了隧道内双向交通流，引发后方车辆排队,碰撞|追尾,,True,True,True,lcrm_lite_core,strong,0.8634,0.6586,0.4032,0.2657,0.0,4,6,0,12
44,35716923,多车事故_20240621121139_突发事件_35716923.mp4,多车事故,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车相隔较近，有两人在查看车辆碰撞情况/交涉,collision_process_weak,person_handling|person_present|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,拥堵,2024年6月21日12时10分至12时11分，在外环高速北翟路立交北侧路段，发生了一起严重的交通拥堵事件。视频显示，多辆货车和轿车在该路段缓慢移动或完全停止，排队车辆长度超过正常范围，且持续一段时间无缓解趋势。涉事车辆包括红色、白色和黑色的货车，它们密集地排列在车道上，导致道路通行效率显著下降。此次拥堵发生在高速公路的瓶颈区域，严重影响了过往车辆的正常行驶,,正常行驶,True,True,False,no_pair_after_area_filter,,,,,,,,2,,15
45,35717902,多车事故_20240622062856_突发事件_35717902.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车相隔较近，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,keep,post_incident_handling,yes,post_incident_handling,,异常停车,2024年6月22日06:28:31至06:29:38期间，S20外至S4金山方向的高架道路上发生了一起异常停车事件。一辆红色货车在右侧车道内完全静止，车辆开启双闪灯，驾驶员站在车旁，车辆处于非停车区域且无交通信号灯或标志允许停车。该车长时间静止导致后方多辆货车和轿车被迫减速绕行，影响了道路的正常通行秩序，存在安全隐患。此行为符合异常停车的判断标准，属于典型,双闪,,True,True,False,score_below_threshold,,0.3848,0.6378,0.1409,0.4924,0.0,6,3,0,6
46,35717414,,,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车贴近停靠，有一人在查看车辆碰撞情况/交涉,collision_process_weak,person_handling|person_present|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,,,,,False,,,,,,,,,,,,,
47,35717758,,,无碰撞过程，无人员在车旁，俩辆车在中间车道想开到旁边去停车 没什么特征,no_process_parking_no_person,explicit_no_person|no_evidence,drop,parking_without_handling_evidence,no,weak_evidence,,,,,,False,,,,,,,,,,,,,
48,35716626,多车事故_20240621082921_突发事件_35716626.mp4,多车事故,有碰撞过程（但不明显），碰撞后停车，无人员在车旁 两车贴近停靠，有疑似碰撞过程，但不明显，造成后边车流拥堵,collision_process_weak,explicit_no_person|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,多车事故,2024年6月21日星期五早上8点28分至8点29分，在一条多车道的高架桥上发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆灰色SUV。在视频中可以看到，白色轿车和灰色SUV发生了碰撞。事故导致车辆位置异常，部分车辆横跨车道或斜停在路中央，严重影响了交通秩序。现场有人员下车查看情况，交警也迅速赶到现场进行处理。其他车辆被迫紧急避让或停滞不前，造成了严重的交,碰撞|人员下车|下车查看|斜停|横跨,,True,True,True,lcrm_lite_core,strong,0.9267,0.8167,0.2158,0.1436,0.0,6,13,0,43
49,35717110,,,有碰撞过程，碰撞后停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,collision_process_clear,person_handling|person_present|two_or_more_close,keep,collision_process_clear,yes,collision_visible,,,,,,False,,,,,,,,,,,,,
50,35462115,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，有明显车损/碰撞痕迹,no_process_parking_with_person,explicit_evidence|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling_with_evidence,,,,,,False,,,,,,,,,,,,,
51,35722808,多车事故_20240625070853_突发事件_35722808.mp4,多车事故,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉,collision_process_weak,person_handling|person_present|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,拥堵,2024年6月25日星期二早上7点07分至7点08分，在一条多车道高速公路上发生了一起拥堵交通事件。视频显示，该路段有多辆车缓慢移动或完全停止，排队车辆长度超过正常范围，且持续一段时间无缓解趋势，尤其是在道路的瓶颈区域。涉事车辆包括多种类型，如轿车、SUV、货车和客车，它们在车道上密集排列，导致交通流严重受阻。异常特征表现为车辆尾灯亮起，表明驾驶员正在减速或,,,True,True,False,static_count_below_threshold,,,,,,,,0,,37
52,35723208,,,无碰撞过程，只看到停车，无人员在车旁 只看到停车，无人员，无明显事故证据,no_process_parking_no_person,explicit_no_person|no_evidence,drop,parking_without_handling_evidence,no,weak_evidence,,,,,,False,,,,,,,,,,,,,
53,35723376,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
54,35722770,,,有碰撞过程（但不明显），碰撞后停车，有人员在车旁 两车贴近停靠，有一人下车查看车辆碰撞情况/交涉 但镜头中小汽车几乎被大货车挡住,collision_process_weak,occluded|overlap_angle|person_handling|person_present|two_or_more_close,keep,collision_process_weak,yes,collision_weak,,,,,,False,,,,,,,,,,,,,
55,35722191,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
56,35723177,多车事故_20240625090006_突发事件_35723177.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,keep,post_incident_handling,yes,post_incident_handling,,多车事故,2024年06月25日星期二09:00:04至09:00:09期间，在上行水产路入口匝道03路段，发生了一起多车事故。视频显示，事故区域位于高速公路右侧车道，涉事车辆包括一辆白色面包车和一辆白色轿车，两车在行驶过程中发生碰撞并停靠在中间车道上。事故导致该车道交通流受阻，后方车辆被迫减速或变道绕行，造成短时拥堵。此外，有人员下车查看情况，进一步加剧了交通影响。,碰撞|人员下车|下车查看,,True,True,False,construction_context,,0.8844,0.7109,0.2137,0.3486,0.0,10,7,0,25
57,35724773,多车事故_20240625161301_突发事件_35724773.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁，视频后段车开走 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,drive_away|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,异常停车,2024年6月25日15时12分，在外环高速北翟路立交北侧路段，道路上有不明物体，该物体位于行车道中央，呈扁平状，颜色较深，疑似为抛洒物。由于车辆行驶速度较快，且多辆货车和轿车在经过该区域时均未发生明显避让或急刹行为，但部分车辆会产生轻微摆动，导致该区域交通流出现短暂受阻。该抛洒物未被及时清理，可能对后方车辆造成安全隐患，尤其在雨天湿滑路面上，风险更高。整个,,,True,True,False,construction_context,,0.7141,0.5041,0.4604,0.5291,0.0449,3,4,0,29
58,35722317,多车事故_20240624164123_突发事件_35722317.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁，画面不清晰 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，但画面极不清晰且镜头原因车辆重叠,no_process_parking_with_person,low_quality|overlap_angle|person_handling|person_present|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,拥堵,2024年3月24日18时41分至18时42分，嘉闵西侧定焦09监控点位显示，隧道内双向车道出现持续性交通拥堵。现场多辆小客车、货车及一辆黄色校车在车道内缓慢行驶或完全停止，车流密集且车辆间距极小，尾灯连成一片，表明通行速度极低。涉事车辆包括黑色轿车、白色SUV、红色轿车、银色面包车及多辆私家车，均处于低速移动状态，未见明显事故或异常停车情况。由于车流量大且,,未见明显事故,True,True,False,no_pair_after_area_filter,,,,,,,,2,,23
59,35604414,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，存在事故证据,no_process_parking_with_person,explicit_evidence|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling_with_evidence,,,,,,False,,,,,,,,,,,,,
60,35609000,,,无碰撞过程，只看到停车，有人员在车旁，画面不清晰，视频最后车开走 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但画面极不清晰且镜头原因车辆高度重叠,no_process_parking_with_person,drive_away|low_quality|overlap_angle|person_handling|person_present|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
61,35608617,,,看不到事故可疑车辆,cannot_see_suspect_vehicle,no_evidence,drop,invalid_or_unverifiable,no,cannot_see_target,,,,,,False,,,,,,,,,,,,,
62,35607015,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但由于镜头原因一辆车只露出一部分（处在画面边缘）,no_process_parking_with_person,edge_or_small|overlap_angle|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
63,35604170,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
64,35605552,,,无碰撞过程，只看到停车，有人员在车旁，俩辆车相隔远 两车相隔较远，有两人在其中一辆车旁查看车辆碰撞情况/交涉,no_process_parking_with_person,far_apart|far_or_unclear_relation|person_handling|person_present,review,post_incident_handling_but_visual_weak,uncertain,far_but_handling,,,,,,False,,,,,,,,,,,,,
65,35604270,多车事故_20240518114604_突发事件_35604270.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,keep,post_incident_handling,yes,post_incident_handling,,多车事故,2024年5月18日星期六11时45分至11时46分，位于城市高架道路主干道上，靠近右侧匝道入口处发生多车事故。涉事车辆包括一辆轿车和一辆SUV，其中一辆白色SUV与前方轿车发生追尾碰撞，导致车辆横向偏移并阻塞了右侧车道。事故现场有人员下车查看情况，部分车辆停靠在行车道内未及时撤离，导致该路段交通流明显受阻，车辆行驶缓慢，出现短时拥堵现象。异常特征表现为车辆,碰撞|追尾|人员下车|下车查看|斜停|横跨,,True,True,False,score_below_threshold,,0.621,0.4406,0.6168,0.4954,0.429,5,7,0,46
66,35606264,,,无碰撞过程，只看到停车，有人员在车旁，但车辆损毁严重 两车相隔较远，有两人在查看车辆碰撞情况/交涉，有明显车损/碰撞痕迹,no_process_but_damage_trace,damage_trace|explicit_evidence|far_or_unclear_relation|person_handling|person_present,keep,no_process_but_damage_trace,yes,damage_trace,,,,,,False,,,,,,,,,,,,,
67,35610485,,,无碰撞过程，只看到停车，有人员在车旁，视频最后车开走 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,drive_away|person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
68,35609600,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
69,35616242,,,无碰撞过程，只看到停车，有人员在车旁，但处在画面边缘 两车贴近停靠，有一人在查看车辆碰撞情况/交涉，但由于镜头画面原因极不清晰，所占画面小且事故车辆高度重叠,no_process_parking_with_person,edge_or_small|low_quality|overlap_angle|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
70,35615516,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有一人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
71,35598207,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
72,35603638,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但画面较模糊,no_process_parking_with_person,low_quality|person_handling|person_present|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
73,35600370,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉，但画面较模糊且所占画面小,no_process_parking_with_person,edge_or_small|low_quality|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,,,,,False,,,,,,,,,,,,,
74,35599172,,,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,review,post_incident_handling_needs_confirmation,yes,post_incident_handling,,,,,,False,,,,,,,,,,,,,
75,35597769,多车事故_20240516171701_突发事件_35597769.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有多人在查看车辆碰撞情况/交涉，但由于镜头画面原因极不清晰，所占画面小且事故车辆高度重叠,no_process_parking_with_person,edge_or_small|low_quality|overlap_angle|person_handling|person_present|small_or_edge|two_or_more_close,review,post_incident_handling_but_visual_weak,uncertain,post_incident_handling_visual_weak,,异常停车,2024年5月16日17时16分55秒，在嘉闵西侧定焦13路段，一辆白色轿车在最右侧车道完全静止，驾驶员下车后在车旁停留并进行操作，车辆开启双闪灯，后方车辆被迫减速绕行，导致该车道出现拥堵现象。该行为符合异常停车判断标准，存在安全隐患，影响了正常交通秩序。,双闪,,True,True,False,score_below_threshold,,0.5743,0.5134,0.4864,0.4868,0.0,3,7,0,22
76,35700753,多车事故_20240613090315_突发事件_35700753.mp4,多车事故,无碰撞过程，只看到停车，有人员在车旁 两车贴近停靠，有两人在查看车辆碰撞情况/交涉,no_process_parking_with_person,person_handling|person_present|two_or_more_close,keep,post_incident_handling,yes,post_incident_handling,,拥堵,2024年06月13日09:03:10至09:04:08，在某高速公路路段，发生了一起多车事故。涉事车辆包括一辆白色面包车和一辆白色轿车，这些车辆在行驶过程中发生了碰撞，导致车辆位置异常，其中白色面包车斜停于车道中，白色轿车则紧随其后。事故现场有人员下车交涉，其中一名人员站在事故车辆旁，另一名人员在后方车辆旁指挥或查看情况。此次事故导致后方车辆被迫减速或绕行,碰撞|人员下车|下车交涉|斜停,,True,True,False,construction_context,,0.6563,0.7697,0.037,0.3235,0.0,3,7,0,52
