video_id,gt,pred_lcrm_lite_fused
,2023年7月18日14时12分15秒左右，在一条城市快速路的最右侧车道上，一名身穿浅色上衣的骑行者推着自行车沿道路护栏逆向行走，进入机动车道边缘区域，与正常行驶的车辆形成冲突。该骑行者未在非机动车道或人行道内通行，而是长时间在高速公路边缘地带行走，属于二轮车辆闯入机动车道的行为。其行为违反了交通规则，存在较大的安全隐患，可能干扰正常行车秩序，导致车辆需减速避让，增加了交通事故风险。整个过程中，该骑行者持续出现在画面左侧，直至视频结束仍未离开危险区域，构成明显的交通异常事件。,2023年7月18日14时12分，位于高速公路左侧车道区域，一辆二轮摩托车从画面左侧驶入车道，沿最左侧车道由南向北行驶，驾驶员身穿浅色上衣，佩戴头盔，车辆为黑色摩托车，行驶过程中未见明显违规行为，但该路段为多车道高速公路，无专用二轮车道且设
,2023年7月20日07时25分39秒，在外环高速北翟路立交北段，一辆二轮摩托车在最左侧车道上行驶，行驶于多辆轿车与货车之间，未在专用通道或允许区域通行，且未开启警示灯，驾驶员未佩戴头盔，存在逆行及横穿车道的危险行为，导致后方车辆紧急避让，影响了雨天湿滑路面下的行车安全，属于典型的二轮车辆闯入交通异常事件。,2023年7月20日07时25分38秒，在外环高速北翟路立交北侧路段，一辆二轮摩托车从左侧车道驶入主路，行驶于多车道高速公路的中间车道，未在专用通道或允许区域通行，且无明显禁止标志区域存在。该摩托车驾驶员佩戴头盔，车辆有牌照，行驶过程中未见
,2023年10月27日星期五08:00:10至08:00:20期间，高速公路某路段出现持续性拥堵事件。该路段为双向多车道高速公路，右侧方向车流密集，车辆行驶缓慢，多辆轿车、货车及厢式货车在多个车道内排成长队，车距明显缩短，部分车辆处于低速蠕动状态，未见明显加速迹象。涉事车辆包括白色面包车、黑色SUV、红色轿车、蓝色厢式货车及大型集装箱货车等，均正常行驶但受前方车流影响无法提速。道路两侧设有绿化隔离带，右侧车道有施工区域警示标线，但无明显施工人员或设施遮挡车道。整体车流呈现排队缓行特征，持续时间超过10秒且无缓解趋势，符合拥堵判断标准，影响通行效率，造成交通延误。,2023年10月22日星期一早上7点09分至7点10分，位于城市快速路某路段（具体位置未标注）出现持续性交通拥堵事件。该路段为多车道高速公路，两侧设有绿化带和护栏，路面标线清晰。视频显示，从7:09开始，该区域车流密集，车辆以缓慢速度行驶，
,2023年12月8日星期五上午8时11分至8时12分，位于城市高架道路的主车道上发生交通拥堵事件。该路段为多车道高架桥，双向通行，车流量较大，主要由轿车、客车及货车组成。在视频起始阶段，车辆行驶较为缓慢，车距缩短，形成连续的缓行状态。随后，一辆大型红色吊臂运输车从画面左侧进入视野并持续行驶于最左侧车道，其车身较长且载有大型设备，影响了相邻车道的通行效率。同时，右侧匝道处有一辆货车停靠在路边，疑似临时停车或等待信号，未见明显施工设施或警示标志。由于主路车流密集，车辆间频繁变道和减速，导致整体通行速度下降，形成持续性拥堵。此现象符合拥堵判断标准：多辆车缓慢移动或完全停止，排队车辆长度超过正常范围，且发生在早高峰时段的瓶颈区域。现场无明显事故迹象，也未发现异常停车或抛洒物情况，但因大型车辆行驶及局部车道占用，加剧了通行压力。,2023年12月8日星期五上午8时11分至8时12分，位于城市高架道路主干道上发生拥堵事件。事发地点位于城市高架桥路段，双向车道中右侧方向车流密集，车辆行驶缓慢，多辆小轿车、货车及一辆红色平板拖车（载有大型设备）在车道内排队缓行，部分车辆间
,2023年7月18日22时16分至22时17分，夜间高速公路某路段出现异常停车事件。涉事车辆为一辆厢式货车，在行车道内完全静止，未开启双闪灯，且无交通信号灯或标志允许其停车。该车停在主车道上，导致后方多辆小汽车被迫减速绕行，引发短暂拥堵和交通流紊乱。由于夜间视线较差，该异常停车行为存在较大安全隐患，影响了道路通行效率和行车安全。,2023年7月18日22时16分至22时17分，夜间高速公路路段发生一起多车事故。事故发生在道路左侧车道，涉事车辆包括一辆白色轿车和一辆黑色轿车，两车疑似发生碰撞，黑色轿车停靠在应急车道，驾驶员下车查看情况，车辆位置异常，横跨部分车道，导致
,2023年12月20日星期三08:43至08:44期间，北环高速同济路立交南段出现交通拥堵事件。该路段为多车道城市高架道路，车流量较大，主要由小客车、货车及公交车组成。视频显示，车辆在多个车道上持续缓慢行驶，部分车辆处于低速移动或短暂停滞状态，尤其在右侧车道及靠近中央隔离带区域，车辆排队长度明显超过正常通行范围，且无缓解趋势。拥堵发生在早高峰时段，受车流密集影响，整体通行效率下降。未见明显事故或障碍物导致阻塞，但右侧应急车道附近有工作人员穿着反光背心进行作业，可能对局部通行造成一定干扰。此外，左侧非机动车道有骑行人员经过，未见二轮车辆闯入主车道行为。整体判断为典型早高峰时段的交通拥堵，属于d类异常事件。,2023年12月20日星期三上午8时43分至8时44分，北环高速同济路立交南段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，其中南向车道车辆行驶缓慢，车距明显缩短，车辆呈连续排队状态，部分车辆在接近前方分流区域时减速并保持低速行驶
,2023年10月29日11时30分至11时31分，外环高速京沪立交南口处发生拥堵事件，现场车辆在多车道上缓慢移动或完全停止，排队长度持续增长且无缓解趋势，主要涉事车辆包括多辆货车、轿车及面包车，其中红色货车和白色厢式货车较为集中，部分车辆因前方车流滞缓而被迫减速或停车，导致整体通行效率显著下降，该区域为高速公路瓶颈路段，交通流量大，车辆密集，未见明显事故或障碍物，但车流密度异常高，形成典型的拥堵特征。,2023年10月29日11时17分至11时18分，外环高速京沪立交南（外）路段出现交通拥堵事件。该路段为双向多车道高速公路，左侧方向车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态，形成明显排队现象，持续时间超过一分钟且无缓解趋势
,2023年8月16日00:50:52至00:51:51期间，外环高速老沪闵路东（内）路段出现占道施工交通事件。现场可见施工区域设置有锥桶和警示灯，部分车道被围挡遮挡，导致车道数量减少，车辆需变道行驶。施工区域内未见明显的工程车辆停靠及施工警示牌，但有施工人员穿戴反光背心在作业。该施工行为影响了正常交通流，造成后方车辆减速并有序变道绕行，车速明显降低，存在一定的通行压力。异常特征包括：车道被临时封闭、施工设施清晰可见、警示灯光闪烁以及车辆通行受阻。,2023年8月16日00:50至00:51期间，外环高速老沪闵路东（内）路段出现交通拥堵事件。该路段为夜间照明条件下多车道高架道路，车流密集，车辆行驶缓慢，部分车辆处于低速移动或短暂停滞状态。涉事车辆包括多辆轿车、货车及厢式运输车，其中红色
,2024年3月13日17时25分至17时26分，外环高速天山路路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以缓慢速度行驶，部分车辆处于停顿状态，形成连续的排队现象。涉事车辆包括各类轿车、货车及工程运输车，其中一辆红色厢式货车和一辆白色厢式货车在车流中较为显眼，后方有多辆大型货车与小型客车跟随。视频显示，车流持续缓慢移动，未见明显事故或障碍物，但因车流量大导致通行效率降低，形成典型拥堵特征。整体影响表现为道路通行能力下降，车辆行驶速度显著减缓，且拥堵态势在短时间内无缓解迹象，符合交通拥堵判断标准。,2024年3月13日17时25分至17时26分，外环高速天山路路段出现交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆包括轿车、货车、厢式货车及大型运输车等。视频显示，从17:25:30开始，车辆行驶速度明显减缓，车距缩短，部分车辆
,2024年3月16日13时50分，外环高速沪太立交东2枪机监控画面显示，该路段双向车流密集，其中由西向东方向出现明显拥堵现象。左侧车道车辆排成长队，行驶缓慢，多辆轿车、货车及大型客车依次排队缓行，部分车辆间距离极短，未见明显空隙，车辆持续低速移动，无突发停车或事故迹象。右侧车道虽有车辆正常通行，但车流量较大，整体通行效率下降。涉事车辆包括多辆小型轿车、中型货车、厢式货车及大型客车，均处于缓慢行驶状态，未发现异常停车、占道施工、二轮闯入或抛洒物等其他交通异常行为。拥堵影响范围覆盖多个车道，持续时间较长且无缓解趋势，符合拥堵判断标准，主要特征为车辆排队长度超过正常范围，且发生在高速公路瓶颈区域，导致通行能力显著降低。,2024年3月16日13时50分至13时51分，位于城市快速路某路段（具体位置未标注），右侧车道发生多车事故。涉事车辆包括一辆白色轿车及右道行驶的黑色轿车，其中白色轿车与右侧黑色车辆发生追尾碰撞，导致后方车辆紧急刹车并绕行，引发后方车辆紧急
,2023年7月16日星期日上午9时53分至9时54分，外环高速丰翔路-1 02路段出现异常停车事件。一辆白色厢式货车在道路左侧车道内长时间静止不动，且无明显故障迹象，驾驶员也未下车查看情况。该车停靠位置位于行车道上，非停车区域，导致后方车辆被迫减速绕行，引发短时拥堵。受其影响，多辆小型轿车和货车在该路段缓慢通行，交通流明显受阻。此外，该路段为雨天湿滑路面，能见度较低，异常停车进一步增加了安全隐患。整个事件持续约1分钟，期间未见其他车辆发生碰撞或事故，但存在较大交通安全隐患。,2023年7月16日星期日上午9时53分至9时54分，外环高速丰翔路-1路段出现交通拥堵事件。该路段为双向多车道高速公路，路面湿滑，天气阴雨，能见度较低。视频显示，从9:53:29开始，道路右侧车道车辆行驶缓慢，车流密集，多辆货车与轿车依次
,2023年7月17日16时54分28秒，外环高速京沪铁路桥南路段，一辆二轮摩托车沿第一、二车道中间白色虚线驶入主路，行驶在多车道车流中，未见其有专用通行区域或合法通行标志，驾驶员佩戴头盔，车辆无明显牌照，该行为属于闯入禁止通行区域的危险驾驶行为，导致周边车辆紧急避让，存在较大安全隐患。,2023年7月17日星期一16时54分28秒，在外环高速京沪铁路桥南路段，一辆二轮摩托车从左侧车道驶入主路，行驶于多车道高速公路的中间车道，未在专用通道或允许区域通行，且无明显禁止标志下绕行行为，驾驶员佩戴头盔，车辆有牌照特征，该行为属于二
,2023年7月22日15时00分39秒，在外环高速虹梅南路路段，一辆二轮摩托车从左侧车道驶入主路，进入高速公路行车道，驾驶员佩戴头盔，车辆无明显牌照，行驶过程中在车流中穿行，周围多辆汽车被迫减速避让，该行为违反了高速公路禁止二轮车辆通行的规定，构成严重的交通安全隐患。,2023年7月22日15时50分35秒至15时50分36秒，外环高速虹梅南路段出现二轮车辆闯入交通事件。一辆摩托车从画面左侧驶入高速公路主车道，驾驶员身穿深色衣物，佩戴头盔，车辆沿左侧车道正常行驶，未见逆行或横穿行为。该路段为多车道高速公路
,2024年6月13日16时55分59秒，在外环高速丰翔路南段，一辆黑色轿车在行车道内完全静止，车辆开启双闪灯，现场无任何施工或故障迹象。该行为符合异常停车特征，存在安全隐患。,2024年6月13日16时55分至16时56分，外环高速丰翔路南段监控画面显示，该路段为多车道高速公路，道路两侧绿树成荫，交通标志清晰。视频中未发现明显的事故痕迹或车辆异常停车情况，但持续约1秒的车辆行驶过程中，未见任何车辆在行车道内完全停
,2023年11月3日09:05至09:07期间，外环高速莘庄立交东南方向出现交通拥堵事件。现场多辆机动车在车道内缓慢行驶或处于停滞状态，包括红色和黄色大巴车、蓝色货车、红色SUV以及多辆轿车，车辆排成长队，车距明显缩短，部分车辆在变道过程中存在轻微并线行为，但未发生碰撞。道路为高架桥路段，两侧有护栏及绿化带，路面标有白色导流线，车辆通行速度显著下降，持续时间约1分钟且无缓解趋势，符合拥堵判断标准，影响了该路段的正常通行效率。,2023年11月3日09:05至09:06期间，外环高速莘庄立交东南方向出现交通拥堵事件。画面显示该路段为多车道高架道路，车流密集，车辆包括红色大巴、黄色“EXPRESS”客车、蓝色和白色相间的双层大巴、黑色轿车、银色SUV、白色轿车及多辆
,2023年7月21日00:10:15至00:10:39期间，在外环高速沪嘉立交南段，多辆二轮车辆（摩托车/电动车）在夜间行驶过程中闯入高速公路主车道，从画面右侧进入并持续在行车道内穿行，且未见明显专用二轮车道或禁止标志，驾驶员佩戴头盔，对正常行驶的轿车和货车造成干扰，存在较大安全隐患。,2023年7月21日00:09:08至00:10:06期间，外环高速沪嘉立交南段夜间监控画面显示，一辆二轮车（疑似电动车或摩托车）在多车道高速公路上行驶，未在专用通道或允许区域通行。该二轮车在车流中穿行，与多辆轿车和货车并行，存在逆行和横穿
,2023年9月9日00:23至00:24期间，在K14+050路段的高速公路右侧车道上，发生占道施工交通事件。现场可见多排红色与白色相间的交通锥桶沿道路边缘排列，形成临时隔离带，占用了一条行车道，导致该车道车辆需减速并变道行驶。施工区域附近有应急车辆停靠，闪烁着警示灯光，进一步表明存在施工或管制活动。涉事车辆包括多辆轿车、货车及一辆大型红色集装箱卡车，均在正常行驶中受到施工影响，部分车辆因车道减少而出现轻微拥堵现象。整体交通流速降低，但未出现严重停滞或事故。异常特征表现为车道被物理设施封闭、车辆通行受阻以及应急照明设备启用，符合占道施工典型特征。,2023年9月9日星期六00:23:50至00:24:48期间，K14+050路段夜间出现严重交通拥堵事件。该路段为城市高架道路，双向多车道，右侧车道被大量车辆封闭，形成连续的排队缓行状态。涉事车辆包括大量轿车、货车、客车及大型运输车，其中
,2023年7月22日16时09分41秒，在外环高速蕴川立交东路段，一辆二轮摩托车驶入主路行车道，行驶过程中未在专用非机动车道或辅路通行。该摩托车驾驶员佩戴头盔，车辆未见明显牌照，影响了正常交通秩序，构成典型的二轮车辆闯入交通异常事件。,2023年07月22日16时09分42秒，在外环高速蕴川立交东1枪机2监控区域内，一辆二轮摩托车从右侧车道驶入高速公路主路，行驶于多车道车流中，未见其在专用通道或合法入口进入，佩戴头盔。该车辆在车流中穿行，周围有多辆轿车、货车及客车正常行驶
,2021年5月30日07:41:59至07:42:46，在外环高速丰翔路南枪机2处，未知车辆在行驶过程中疑似发生货物抛洒，导致车道上出现异物。该抛洒物位于道路右侧，尺寸较大，影响了后方车辆的正常行驶，部分车辆不得不紧急刹车或变道避让，造成了短暂的交通拥堵和安全隐患。异常特征包括：抛洒物明显可见于车道上，且后方多辆车表现出避让行为，证实了抛洒物的存在及其对交通的影响。,2024年5月30日07:41至07:42期间，外环高速丰翔路南段出现交通拥堵事件。该路段为多车道高速公路，两侧绿树成荫，道路标线清晰，限速标志显示为80km/h。视频显示，从07:41:45左右开始，车辆行驶速度明显减缓，车流密集且持续缓
,2024年5月30日08:57至08：58，在外环高速顾戴路北（内）路段，发生了一起多车事故。涉事车辆包括一辆白色轿车和一辆银色SUV，它们在行驶过程中发生了碰撞，导致车辆位置异常，其中银色SUV斜停在道路上，白色轿车在其前方。其他车辆被迫紧急避让或停滞，交通秩序受到严重影响，后续车辆出现缓慢移动和排队现象，整体交通流量明显下降，形成了短暂的拥堵状态。此事件的异常特征表现为多辆车同时受损且位置异常，对道路通行能力造成了显著影响。,2024年5月30日08:56至08:57，在外环高速顾戴路北（内）路段，发生了一起多车事故。涉事车辆包括一辆白色面包车和一辆黑色轿车，这些车辆在行驶过程中发生了碰撞，导致车辆位置异常，其中白色面包车斜停在车道上，黑色轿车在其前方。事故现场
,2023年11月13日07:19至07:20期间，外环高速漕宝路北段出现严重交通拥堵事件。该路段为双向多车道高速公路，车流密集，车辆包括轿车、货车、客车及出租车等各类机动车。视频显示，右侧车道车辆行驶缓慢，部分车辆几乎处于停滞状态，排队长度持续延伸，且无明显缓解趋势，符合拥堵判断标准中的“多辆车缓慢移动或完全停止”、“排队车辆长度超过正常范围”以及“持续一段时间且无缓解趋势”。左侧车道虽有车辆通行，但整体车速较低，存在频繁变道和跟车距离缩短现象。现场未见施工设施、抛洒物或事故痕迹，亦无异常停车或二轮车辆闯入情况。拥堵主要集中在主干道中间区域，可能与早高峰时段车流量激增有关，导致通行效率下降，影响了该路段的正常交通秩序。,2023年11月13日07时19分至07时20分，外环高速漕宝路北方向出现严重交通拥堵事件。该路段为多车道高速公路，双向车流密集，车辆以缓慢速度行驶，部分车辆几乎处于停滞状态，排队长度持续延伸，影响通行效率。涉事车辆包括各类轿车、货车、客车
,2024年6月14日15时31分15秒至15时32分13秒，外环高速吴淞江桥南路段，一辆白色面包车停靠在右侧应急车道上，车辆开启双闪警示灯，且驾驶员下车在车旁活动。该车辆长时间占用应急车道，影响应急救援通道通行，后方车辆被迫减速绕行，存在安全隐患。现场无施工设施、无其他事故迹象，亦无二轮车辆闯入或抛洒物等情况，仅此车辆异常停车行为构成交通异常，属于异常停车事件。,2024年6月14日15时31分至15时32分，在外环高速吴淞江桥南路段，发生了一起多车事故。涉事车辆包括一辆白色SUV和一辆黑色SUV，其中白色SUV停在右侧车道上，黑色SUV停在左侧车道上，两车均有碰撞痕迹，停于最左侧车道。事故没有发生
,2024年6月22日06时28分51秒至06时29分49秒，S20外环线至S4金山方向高架路段发生一起多车事故。一辆红色货车与一辆银蓝色轿车在行车道内发生追尾碰撞，两车均停在车道中央，车辆位置异常，横跨部分车道。事故发生后，两名人员从货车后方下车，站在车辆旁查看情况，未见明显伤员或报警行为。事故导致该车道通行受阻，后方车辆包括黄色小货车、油罐车、集装箱卡车、客车及多辆轿车等陆续减速绕行，交通流出现明显滞缓。现场无警示标志或警力到场，事故持续时间较长，影响正常交通秩序，属于典型的多车事故事件。,多车事故
,2023年7月19日08时50分53秒，在城市快速路主车道上，一辆二轮摩托车从主行车道驶入右侧匝道，未按规定行驶于非机动车道或专用通道，且无明显禁行标志区域，车辆未佩戴头盔，驾驶员身穿浅色上衣，该行为导致后方车辆紧急避让并减速，存在较大安全隐患，属于典型的二轮车辆闯入交通事件。,2024年3月1日18时01分至18时02分，位于城市快速路某路段（道路名称疑似），右侧车道发生一起多车事故。事故涉及二辆黑色轿车，事故发生后，驾驶员下车查看情况，车辆位置异常（横跨车道或斜停），后方车辆被迫减速绕行。现场未见明显人员受伤情
,2024年6月13日14时43分50秒左右，在外环高速京沪立交南2枪机1监控范围内，一辆蓝色货车停靠在道路右侧应急车道上，车辆开启双闪灯，驾驶员下车后在车旁活动，该事件符合异常停车的判断标准。,多车事故
,2023年11月7日星期二上午8时24分至8时25分，北环高速宝杨路路段出现交通拥堵事件。该路段为城市高架快速路，双向多车道，左侧车道车流密集，车辆行驶缓慢，形成明显排队现象，车辆间距极小，部分车辆处于低速蠕动状态，持续时间约一分钟且无缓解趋势。右侧车道车流相对正常，但因左侧拥堵导致整体通行效率下降。涉事车辆包括多辆轿车、SUV及一辆大型货车，均在正常行驶过程中受阻，未见异常停车、事故或施工迹象。拥堵主要发生在靠近城市中心方向的主车道上，影响范围约覆盖多个车道和数百米路段，导致后方车辆被迫减速或变道，存在潜在追尾风险。此拥堵事件属于典型早高峰时段的交通流量饱和现象，无其他外部干扰因素。,2023年11月7日星期二上午8时24分至8时25分，北环高速宝杨路路段出现严重交通拥堵。该路段为双向多车道高速公路，左侧方向车流密集，车辆行驶缓慢，排队长度持续增加，形成明显拥堵态势，车辆间距极小，部分车辆处于低速蠕动状态，未见明显事故或
,2024年5月12日16时16分32秒至16时17分30秒，外环高速吴淞江桥南路段右侧应急车道内，一辆红色货车停靠在道路最右侧车道，车辆未开启双闪灯，开启左转向灯，驾驶员下车站在车旁，车辆长时间静止未移动，符合异常停车行为。,多车事故
,2023年11月25日星期六上午8时53分至8时54分，位于城市高架道路的多车道主干道上发生交通拥堵事件。事发路段为双向高架桥，左侧为三车道，右侧为三车道，车流密集，车辆以低速缓慢行驶，部分车辆几乎处于停滞状态。涉事车辆包括各类小轿车、货车、客车及公交车，其中一辆蓝色厢式货车和一辆红色厢式货车在画面中较为显著，持续占据中间车道，未见明显异常行为。由于车流量大且通行速度极慢，导致车辆排队长度超过正常范围，形成持续性拥堵，影响了整体道路通行效率。现场无可见事故、施工或抛洒物，也无异常停车或二轮车辆闯入情况，但因车距缩短、车速降低，呈现出典型的早高峰拥堵特征，持续时间约一分钟且无缓解趋势，符合拥堵判断标准。,2023年11月25日星期五08:53至08:54期间，位于城市高架道路的主干道上发生拥堵事件，地点位于高架桥与地面道路交汇处附近。该路段为多车道高架桥，双向通行，右侧为匝道入口。视频显示，从08:53:45开始，右侧匝道方向车辆行驶缓慢，
,2023年11月3日星期五08时41分，某城市高速公路南向车道出现交通拥堵事件。事发路段为多车道高速公路，道路两侧设有绿化带和护栏，车流密集，车辆以中低速行驶。涉事车辆包括多辆小轿车、货车及一辆绿色公交车，其中一辆黄色自卸货车在中间车道缓慢行驶，后方车辆依次排队，形成持续性缓行。部分车辆如红色轿车和蓝色轿车在车流中穿插变道，但整体通行速度明显下降。由于车辆间距缩小、行驶速度减慢，导致该路段车流密度增大，形成典型的拥堵现象。未见事故或施工迹象，也无异常停车或抛洒物，拥堵主要由车流量大及大型车辆影响所致，属于典型高峰时段交通压力引发的拥堵事件。,2023年11月3日星期一上午8时40分，位于城市快速路某路段（道路标线内）发生拥堵事件。该路段为多车道高速公路，双向通行，右侧车道车辆行驶缓慢，形成明显排队现象，车辆间距缩短，车速降低，部分车辆处于低速蠕行状态。涉事车辆包括多辆轿车、SU
